"","returns.z"
"1",0.00533334597536239
"2",0.0631246231185196
"3",0.212421030121297
"4",-0.0455864753905466
"5",0.0303278781066671
"6",-0.0955005625474374
"7",0.069239873899166
"8",0.128746964880156
"9",0.174559551458466
"10",0.0133416169375744
"11",0.0373021158811806
"12",-0.128044431029453
"13",0.140835546922795
"14",0.18943237491187
"15",-0.26830377175482
"16",0.187362749618019
"17",-0.215717227186282
"18",-0.0250115779853308
"19",-0.047732459764541
"20",0.0903317087526139
"21",0.0504383255418315
"22",-0.0505522791628312
"23",-0.0849932128333926
"24",-0.122041469581838
"25",0.078294398878425
"26",-0.0222813935953123
"27",-0.033010744065467
"28",-0.268327213040215
"29",-0.0200857200324416
"30",-0.0270487034861997
"31",0.0574713539144787
"32",0.0563602230299773
"33",0.0582657460736389
"34",0.00834453397428181
"35",-0.0326696251761067
"36",-0.263304281716334
"37",0.117970389286908
"38",0.00560434868704807
"39",-0.0551441380789903
"40",-0.0705407504985982
"41",-0.0179032914925275
"42",0.143774451841168
"43",0.0975258442681555
"44",0.0962466316416553
"45",-0.018585016882243
"46",0.15760614679923
"47",0.156646465913722
"48",0.00239466446607306
"49",-0.0318221817992006
"50",-0.276109086894122
"51",-0.133952104963135
"52",-0.395328843983456
"53",0.00524797845765113
"54",0.142001050395671
"55",0.188019792933478
"56",0.00992238787546951
"57",0.0608875836446581
"58",0.072341043329808
"59",0.016815270900139
"60",-0.0580925568317454
"61",0.102774336654887
"62",-0.0728114290270572
"63",0.0685090253405836
"64",0.0220826760563684
"65",-0.0151771011578834
"66",-0.0140142433748114
"67",-0.0186277594111592
"68",0.000631811741125254
"69",0.0889306876788591
"70",-0.00448853283808148
"71",0.125956702365411
"72",0.0838932487557891
"73",0.0888723893294765
"74",-0.0184687487395072
"75",0.000657678418970242
"76",0.0532363976686376
"77",-0.183049094112332
"78",0.0725382531321301
"79",0.0721749310782442
"80",0.0470253201161173
"81",0.0826933507202696
"82",0.176441098260717
"83",-0.0109491603336034
"84",0.051984151801177
"85",-0.030991014429298
"86",-0.054578840951244
"87",-0.0487901641694322
"88",0.076007189686786
"89",0.00234258356653605
"90",0.0805018815409602
