"","returns.z"
"1",-0.0147907380013965
"2",0.187001537806518
"3",-0.135691687264631
"4",-0.0663226429310728
"5",0.00936775000360024
"6",-0.0232451092804031
"7",-0.099922025026888
"8",-0.232129187559557
"9",0.0701639985931255
"10",0.356763513975547
"11",-0.336162303254405
"12",0.0223089475053824
"13",-0.0340917589290037
"14",0.0208521890714821
"15",0.0309019297610851
"16",0.089647887224285
"17",0.00570018643934445
"18",0.0755144421464733
"19",0.181091003768848
"20",0.0331585805391699
"21",-0.101711794951552
"22",-0.240562835786275
"23",-0.0715920931842318
"24",-0.518433497969007
"25",-0.0434370823535044
"26",0.0223223554378986
"27",0.126979438212016
"28",0.0754957690179934
"29",0.0166869187850152
"30",0.16623541904233
"31",0.0247170269508996
"32",-0.076063006989525
"33",0.00682596507039968
"34",-0.0031446566794715
"35",0.0299919067156598
"36",0.0286235961187891
"37",-0.0129548398734669
"38",0.0272091977171165
"39",-0.0876771116523911
"40",-0.0144891185141383
"41",0.0839436131472593
"42",-0.000994530166508412
"43",0.0197050710793323
"44",0.00632144093879816
"45",0.0978188183137987
"46",0.124257755839194
"47",-0.105101749968712
"48",-0.0275427246375823
"49",-0.281201931955261
"50",0.00468659322950504
"51",-0.100114219742521
"52",-0.0598981415810691
"53",-0.0979198921569715
"54",0.0637344914870486
"55",-0.100718675766572
"56",-0.036774727425021
"57",-0.0965324248128683
"58",0.107063101310388
"59",0.0325038522760082
"60",0.0509422187271404
"61",0.0428066805102318
"62",0.0328356428876058
