"","returns.z"
"1",-0.171038241753627
"2",-0.0698296858796044
"3",-0.0283257742201288
"4",0.0762234796065411
"5",0.0392509022882139
"6",0.0606986109400673
"7",-0.155285781738155
"8",0.0233005655928082
"9",-0.0799751697678612
"10",-0.116658777616746
"11",0.0266898827845328
"12",-0.176765454752933
"13",-0.17323041218913
"14",-0.0363213647229386
"15",-0.0583301657429112
"16",-0.119642280463855
"17",-0.0957888305814163
"18",0.0457170573244507
"19",0.0418750060527873
"20",0.158822593188001
"21",-0.131527176189437
"22",-0.0626807247584455
"23",-0.197311321124932
"24",0.0826291769359422
"25",0.047336589889257
"26",-0.118923802453973
"27",0.134372342504786
"28",0.021446900470306
"29",-0.0383117599017893
"30",0.0437531276202603
"31",-0.235314086934465
"32",0.14266842770068
"33",0.405740688896416
"34",-0.0483218510522381
"35",-0.0609283116502208
"36",0.00466086947034272
"37",-0.0677088210491288
"38",-0.0569812734248996
"39",0.0201722105952213
"40",0.171828806521782
"41",0.250564169152001
"42",0.173826088752934
"43",-0.0727042855205933
"44",0.0544272115332509
"45",-0.262196595597873
"46",-0.1508044585084
"47",-0.542342722051545
"48",0.327116141697188
"49",0.153946577367115
"50",0.133914050571258
"51",-0.058678204514917
"52",0.120467905578312
"53",0.354083472156734
"54",-0.0408985635222157
"55",0.0456227041607506
"56",0.131630318297349
"57",0.0174225759809687
"58",0.225987814782707
"59",-0.048587139095138
"60",-0.0845782857649882
"61",-0.0629123908580815
"62",-0.0843947906206144
"63",0.100671438497302
"64",0.0233918760998393
"65",0.159064694629687
"66",-0.146370034456328
"67",-0.0221798646187716
"68",0.231655982033766
"69",-0.0284670983354776
"70",0.0287386652783976
"71",-0.0115613486222841
"72",-0.313231161221954
"73",0.00916322447037077
"74",-0.00609947742761041
"75",0.0587941225495343
"76",-0.109765462605825
"77",0.0422557316987604
"78",-0.05176075375445
"79",-0.0465642311412782
"80",-0.125306751560577
"81",0.0712009278529389
"82",0.0550086955958984
"83",0.00932810356888147
"84",-0.0123176424172475
"85",0.0604525844429393
