"","returns.z"
"1",0.0712275092883679
"2",0.1391095557042
"3",0.207003557953693
"4",0.0848166666494842
"5",0.890659379117843
"6",-0.146594700838305
"7",0.498591273670936
"8",0.779249586530079
"9",0.0953444033574664
"10",-0.369642560851323
"11",-0.0257652934988339
"12",-0.50038223032776
"13",0.0379367786999585
"14",0.206459137802657
"15",-0.131412839915236
"16",0.107765108935779
"17",-0.230748810416852
"18",0.0809131560093612
"19",0.367789990316663
"20",-0.156251985122762
"21",0.0909286000755216
"22",0.0767558541175175
"23",-0.0161695400211843
"24",0.154946181628066
"25",-0.0713907934874651
"26",-0.0633782847757125
"27",0.0743512608093075
"28",-0.11682525467158
"29",0.153751652903517
"30",-0.0359809584967912
"31",0.157491857938861
"32",-0.140888568574725
"33",-0.00329311037718361
"34",-0.0253713397420179
"35",-0.128466236706385
"36",-0.0108122394025365
"37",0.135481125397336
"38",-0.0229673572220142
"39",-0.144915595555878
"40",-0.151721408894776
"41",0.00756589344003356
"42",0.106902035259462
"43",-0.175354573439195
"44",0.0410739570307403
"45",0.0346836144873932
"46",-0.026936959255087
"47",0.0551531835825747
"48",-0.0987880491778306
"49",0.0350024974571785
"50",-0.0214136150097404
"51",0.0100616518469612
"52",-0.0266165009815489
"53",-0.167914949471624
"54",-0.424480115136071
"55",0.00028365843932221
"56",-0.103391833430002
"57",-0.0326710144014308
"58",0.255374152559043
"59",-0.0109847639997849
"60",0.0616670310030276
"61",-0.13652573482895
"62",0.157363768614643
"63",0.0951283678201416
"64",-0.0362918851602512
"65",0.300645105143319
"66",0.00547046721151556
"67",0.0759562784769949
"68",0.140754479209332
"69",0.227133450271075
"70",0.0800817810562982
"71",0.0943386829071877
"72",0.0247074379899308
"73",0.0775781487157867
"74",0.0226568095665867
"75",0.213467557910903
"76",-0.0415733214917111
"77",-0.0019521618015208
"78",-0.0950908607542806
"79",0.331724010680411
"80",0.128131209139474
"81",0.00183562183399655
"82",-0.0967651162792333
"83",0.0672595209581481
"84",0.146934985720867
"85",-0.149261479551256
"86",0.025225632097686
"87",-0.143046424585676
"88",0.0642468307635187
"89",-0.0922840916510479
"90",-0.0134970283688629
"91",0.0993575208664996
"92",-0.080750263096415
"93",-0.0670381446963031
"94",-0.196956973905767
"95",0.0450072422868786
"96",-0.0994232894762006
"97",0.00344893245498312
"98",-0.292293165933565
"99",-0.00866246781612245
"100",0.191867412052621
"101",0.0132607226168591
"102",0.0417701008479026
"103",0.0455340308257535
"104",0.0121072755411205
"105",-0.0117803923692259
"106",-0.297575358284528
"107",0.0284840512442579
"108",0.011752031085229
"109",-0.0811722774436259
"110",-0.0436702254913746
"111",0.0232546934034814
"112",-0.00360831724161459
"113",0.0873920007547522
"114",0.125538184517839
"115",0.0063634233130645
"116",0.05201507510067
"117",0.279604312512845
"118",-0.0444817801740163
"119",-0.0205403142512877
"120",-0.189473293054957
"121",-0.11230920726756
"122",-0.486133973657591
"123",0.0721384448159408
"124",0.011910519208866
"125",0.191704460563103
"126",0.0423379975155815
"127",0.117932409221275
"128",0.0179175918786529
"129",0.0447276031622335
"130",-0.108339020796191
"131",0.0597589812132928
"132",-0.0206775857742838
"133",0.0683511580902199
"134",0.0186586527176593
"135",-0.049476936251438
"136",-0.0365873486703254
"137",-0.0382305604244779
"138",0.00714689095316379
"139",0.166770459353642
"140",-0.0156413247519471
"141",0.0820398563656095
"142",0.070769801402025
"143",0.0660060142910868
"144",0.0481910831672372
"145",-0.0737810967851193
"146",0.0776750736841669
"147",-0.0204785313435409
"148",0.297665773987781
"149",-0.169137803218175
"150",-0.00247303567362822
"151",0.0984462630344645
"152",-0.0152958339143385
"153",0.0720815294625585
"154",-0.017481070218011
"155",-0.0544357171969216
"156",-0.00427453897060959
"157",-0.0260851643115902
"158",0.0812908799466863
"159",0.00272423085933893
"160",-0.0201962671864186
