"","returns.z"
"1",-0.169502120406596
"2",-0.0428080107891973
"3",-0.146383761112194
"4",0.132997451109475
"5",-0.170348884912145
"6",-0.100863275276255
"7",-0.105873789500684
"8",-0.0237095967222473
"9",0.0359727325745463
"10",-0.069880252466492
"11",0.00397588194058274
"12",0.0101138662369288
"13",-0.0420272517953441
"14",-0.385628635855726
"15",0.146272667551493
"16",-0.0579309634209075
"17",0.0594502321269614
"18",-0.213786825876609
"19",0.016564861932012
"20",0.709826869758601
"21",0.0184851989723678
"22",-0.188074724243113
"23",-0.163363818124543
"24",0.125122964100705
"25",0.000301302057589936
"26",0.0112763441977325
"27",0.0820717874768147
"28",0.0115367156980482
"29",-0.300899312450297
"30",-0.0329181033018886
"31",-0.178708256580514
"32",-0.0753927561083134
"33",0.246687838745377
"34",-0.00549339306278163
"35",-0.0123259202083295
"36",-0.146448695998938
"37",0.0174493378490834
"38",-0.0331834187902407
"39",-0.0140312825273308
"40",0.0251291671410023
"41",-0.0218584372318296
"42",-0.0186771971058601
"43",0.0445934802329635
"44",0.0056087194127965
"45",0.00798998345716595
"46",-0.0241640585774001
"47",0.00330761051275807
"48",0.156446595078534
"49",-0.097577421366345
"50",-0.0246903233554605
"51",-0.0651832241114521
"52",0.00326721410823816
"53",0.0318402265448627
"54",0.294341881688355
"55",-0.03070860668037
"56",0.0950128999131199
"57",-0.14179008108972
"58",0.102909881177856
"59",0.0961975243511705
"60",-0.171132658458635
"61",0.000782127173374447
"62",-0.266792606983783
"63",0.0854541485410234
"64",-0.0577828584647979
"65",0.0188801597433459
"66",-0.0481993853297846
"67",-0.0681073571242636
"68",-0.0494365594785515
"69",-0.0518128327523002
"70",0.0236313556594623
"71",-0.00700789817284542
"72",0.0607918870972992
"73",-0.140680890497554
"74",0.0616622607916275
"75",0.0816550096435278
"76",0.05814776933757
"77",0.0145938675524528
"78",-0.0269891640734812
"79",-0.0397114619962233
"80",-0.0584245092447613
"81",-0.179444774375108
"82",0.0219502358460566
"83",0.0190372822885208
"84",-0.0526059820104556
"85",-0.100897418005697
"86",0.000203551982790318
"87",-0.0102286986021691
"88",0.101863945579538
"89",0.0896002201413748
"90",-0.018291756332429
"91",0.0814152135759196
"92",0.118752291728706
"93",0.0336490749841916
"94",-0.0321991587192207
"95",-0.22060243326721
"96",-0.107389361235334
"97",-0.286423768707761
"98",-0.035371324666517
"99",0.096810260007911
"100",0.0963818835808343
"101",0.0550269015679141
"102",-0.00200845733477895
"103",0.0372326814233046
"104",0.111681610677835
"105",-0.107408969386471
"106",0.021540762083204
"107",-0.0444382150359204
"108",0.0500851490033536
"109",0.00414058855480248
"110",-0.0664522339787332
"111",-0.0223271022399185
"112",-0.0501000206894096
"113",0.000113032666561041
"114",0.128829766720603
"115",-0.00858203051923923
"116",0.0760103506999201
"117",0.290939347684886
"118",-0.000451443759512005
"119",0.0562220796643633
"120",-0.0670480977446728
"121",-0.00626961301359552
"122",-0.16546214672065
"123",0.0096258315226454
"124",0.0177618747678221
"125",-0.0129834837347393
"126",0.0187271390506978
"127",0.0298007669965257
"128",-0.0531824299482913
"129",0.0440980722938984
"130",-0.0533059349448888
"131",0.0557128649052074
"132",0.0604066816285609
"133",0.503848756040503
"134",0.305373390992218
"135",0.0255048476242326
