"","price.z.1","price.z.2"
"164","1601251200000","10666.63000000"
"165","1601856000000","11369.02000000"
"166","1602460800000","11503.14000000"
"167","1603065600000","13028.83000000"
"168","1603670400000","13761.50000000"
"169","1604275200000","15475.10000000"
"170","1604880000000","15957.00000000"
"171","1605484800000","18414.43000000"
"172","1606089600000","18184.99000000"
"173","1606694400000","19359.40000000"
